site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
177 Forest Road West Nottingham,yes,,2019-08-14,,0.04,29,29,"DevelopmentDescription: Conversion and extensions to form four and six storey building providing 45 bed spaces ie- 19 Studios, and mix of 3 and 4+ bed clusters. 3 x 3beds and 5 x 4beds (from planning application form). (19studios + 26 cluster beds/2.5).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2018-07-10,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P1PREKLY0JQ00,permissioned,full planning permission,2321,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456038.5999999996&xmax=456064.7999999998&ymin=340527&ymax=340554.3499999996",2018-12-14
"Studio House, 22 Mount Street, New Basford Nottingham",yes,,2018-12-14,,0.13,31,31,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-04-18,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PFLKP4LYLZS00,permissioned,full planning permission,2323,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455964.4000000004&xmax=456025.8499999996&ymin=341901.55000000075&ymax=341938",2018-12-14
"Site Of Plumbline Displays' Faraday Road, Nottingham",,,2018-12-14,,0.16,12,12,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,2326,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455119.7999999998&xmax=455174.4000000004&ymin=339950.9000000004&ymax=340000.9299999997",2018-12-14
"43-55 Lower Parliament Street And 1-7 Glasshouse Street , Nottingham NG1 3DB",yes,,2019-08-14,,0.1,92,92,DevelopmentDescription: Conversion of Nos. 43-55 Lower Parliament Street to mixed use commercial/student accommodation. Demolition of Nos. 1-7 Glasshouse Street and development of 5 storey student accommodation building.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-02-21,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P3KBHELYIPD00,permissioned,full planning permission,2327,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457487.6330000004&xmax=457526.1560000004&ymin=340115.4299999997&ymax=340153.8479999993",2018-12-14
"Site Of Marlstones, Aldgate Close , Nottingham",,31/03/2019,2019-08-14,,0.47000000000000003,,,DevelopmentDescription: Residential development of 13 houses.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,2018-11-08,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P1COT4LYKAI00,permissioned,full planning permission,2328,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453441.92700000014&xmax=453539.6579999998&ymin=345478.7689999994&ymax=345562.9399999995",2018-12-14
1-3 u Gate Nottingham NG1 7DE,,31/03/2019,2019-08-14,,0.04,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-10-13,,permissioned,full planning permission,2329,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457304.0999999996&xmax=457323.1500000004&ymin=339655.6500000004&ymax=339682.30000000075",2018-12-14
Provident Works Newdigate Street NG7 4FD,,31/03/2019,2019-08-14,,0.08,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-12-20,,permissioned,full planning permission,2330,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456211.4000000004&xmax=456249.71999999974&ymin=340449.80000000075&ymax=340496.0999999996",2018-12-14
"Graystacks 2, 171A Castle Boulevard NG7 1GY",yes,,2018-12-14,,0.11,7,7,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-01-19,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONVPLTLYMXF00,permissioned,full planning permission,2332,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456087.2000000002&xmax=456133.0499999998&ymin=339119.69999999925&ymax=339157.34300000034",2018-12-14
"100 - 104 Derby Road, NG1 5FB",yes,,2019-08-14,,0.04,49,49,DevelopmentDescription: Demolition of former restaurant building. Construction of a 5-storey building comprising a retail ground floor use (Class A1) with student accommodation above in a mix of studios and cluster flats.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-04-25,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVV1AFLY01B00,permissioned,full planning permission,2333,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456529.2000000002&xmax=456551&ymin=340132&ymax=340157",2018-12-14
"26 - 28 Corporation Oaks, Nottingham NG3 4JY",yes,,2018-12-14,,0.11,7,7,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-06-23,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NFWPLELY00L00,permissioned,full planning permission,2334,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457463.0499999998&xmax=457498.75&ymin=341382.9000000004&ymax=341433.5",2018-12-14
"Djanogly Court, Chelsea Street, New Basford, Nottingham NG7 7JG",,31/03/2019,2019-08-14,,0.19,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-04-18,,permissioned,full planning permission,2335,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455713.7000000002&xmax=455771.767&ymin=342099.80000000075&ymax=342148.7990000006",2018-12-14
"Sutton Place, 49 Stoney Street, Nottingham NG1 1LX",yes,,2019-08-14,,0.04,21,21,"DevelopmentDescription: Conversion of the basement, ground, first, second, third and fourth floors to 21 residential apartments; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2017-08-24,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OL3I5FLYFSF00,permissioned,full planning permission,2344,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457712.5&xmax=457735.9500000002&ymin=339671.05000000075&ymax=339698.4000000004",2018-12-14
"The White Swan, 46 Church Street, Old Basford, Nottingham NG6 0GD",yes,,2018-12-14,,0.08,9,9,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-05-05,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OL3XG5LYFXX00,permissioned,full planning permission,2345,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455097.8499999996&xmax=455134.5999999996&ymin=342849&ymax=342888.3169999998",2018-12-14
"169A Noel Street, Nottingham NG7 6AR",,31/03/2019,2018-12-14,,0.04,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-07-25,,permissioned,full planning permission,2346,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455811.57799999975&xmax=455837.79000000004&ymin=341647.94600000046&ymax=341675.4969999995",2018-12-14
"Farmlands, 12A Ranskill Gardens, Nottingham NG5 9DX",yes,,2019-08-14,,0.23,3,3,DevelopmentDescription: Demolition of former children's home and erection of 8 semi-detached dwellings and access roads. 5 complete in 19/20; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-05-31,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMSM7BLYJT900,permissioned,full planning permission,2352,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456088.0499999998&xmax=456169.7000000002&ymin=345658.6300000008&ymax=345714.19999999925",2018-12-14
"10 Hamilton Road, Nottingham NG5 1AU",,31/03/2019,2019-08-15,,0.07,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-03-04,,permissioned,full planning permission,2365,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456723.1500000004&xmax=456751.0499999998&ymin=341874.9000000004&ymax=341933.6500000004",2018-12-14
"Top Valley Community Centre, Knights Close, Nottingham, NG5 9AJ",,31/03/2019,2019-08-15,,0.15,,,DevelopmentDescription: Change of use from community centre to dwelling house with five people living together with supported living.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-05-17,,permissioned,full planning permission,2478,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455833.7309999997&xmax=455875.58999999985&ymin=345611.4179999996&ymax=345668.3699999992",2019-05-29
"Right Track Academy, Knights Close, Nottingham",,31/03/2019,2019-08-15,,0.21,,,DevelopmentDescription: Change of use from existing training centre to 8 x one bedroom apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-05-23,,permissioned,full planning permission,2479,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455784.7860000003&xmax=455841.8370000003&ymin=345601.4539999999&ymax=345663.6319999993",2019-06-17
"554-556 Mansfield Road, Nottingham, NG5 2FS",yes,,2019-08-15,,0.02,1,1,DevelopmentDescription: Change of use of ground floor from retail to mixed retail and restaurant use. Change of use of first floor office to 554 to a one bedroom self contained apartment.; SiteInformation: N/A; NonHousingDevelopment: Change of use of ground floor from retail to mixed retail and restaurant use.; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-04-12,,permissioned,full planning permission,2480,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457402.7999999998&xmax=457427.1500000004&ymin=342937.30000000075&ymax=342954.8499999996",2019-06-17
"191 Mansfield Road, Nottingham, NG1 3FS",,31/03/2019,2019-08-15,,0.01,0,0,DevelopmentDescription: Conversion from A1 Shop and C3 Dwellinghouse to A1 Shop and C4 HMO (retrospective).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-03-13,,permissioned,full planning permission,2481,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457066&xmax=457078.6500000004&ymin=340942.44999999925&ymax=340950.75",2019-06-17
"15 Robins Wood Road, Nottingham, NG8 3LA",,31/03/2019,2019-08-15,,0.05,0,0,DevelopmentDescription: Change of use from C3 to C4.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-11-22,,permissioned,full planning permission,2482,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453869.3700000001&xmax=453911.33999999985&ymin=341689.73000000045&ymax=341725.5399999991",2019-06-17
"Darby House, 10 The Grove, Nottingham NG7 4BS",yes,,2019-08-15,,0.09,1,1,DevelopmentDescription: New Dwelling; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-04-19,,permissioned,full planning permission,2483,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455962.57299999986&xmax=456009.841&ymin=340860.5460000001&ymax=340918.41000000015",2019-06-17
"69 Ruddington Lane, Nottingham, NG11 7BG",yes,,2019-08-15,,0.16,1,1,DevelopmentDescription: Outline Planning Application for one detached bungalow with access from Ruddington Lane applied for (all other matters reserved for further approval); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-10-19,,permissioned,outline planning permission,2484,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456581.34700000007&xmax=456668.0999999996&ymin=336379.6500000004&ymax=336405.4000000004",2019-06-17
"12 Orford Avenue, Nottingham, NG11 8GY",yes,,2019-08-15,,0.02,1,1,DevelopmentDescription: Conversion of top floor to flat.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: Yes; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-04-20,,permissioned,full planning permission,2485,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455570.5499999998&xmax=455595.25&ymin=335576.0999999996&ymax=335599.5",2019-06-17
"10 Byard Lane and 6 Weekday Cross, Nottingham, NG1 2GJ",,31/03/2019,2019-08-15,,0.05,,,DevelopmentDescription: Conversion of upper floors to 7 self contained flats and construction of bridge link to rear. Replacement of windows to front elevation ( upper floors only ) and internal alterations to listed building.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-04-12,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OTYDBXLYG7N00,permissioned,full planning permission,2486,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457424.9500000002&xmax=457464.2999999998&ymin=339721&ymax=339742.3499999996",2019-06-18
"The Gables, Sherwood Rise, Nottingham, NG7 6JQ",yes,,2019-06-18,,0.19,1,1,DevelopmentDescription: Conversion of managers flat (over two floors) to 2 no. 1 bedroom residential flats.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-09-18,,permissioned,full planning permission,2487,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456464.4000000004&xmax=456527.2999999998&ymin=341964.5999999996&ymax=342023.55000000075",2019-06-18
"Unit 1, North of 166 Querneby Road",yes,,2019-08-15,,0.01,1,1,DevelopmentDescription: Demolition of existing two storey workshop building and erection of a new dwelling.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-02-01,,permissioned,full planning permission,2488,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458347.1500000004&xmax=458356.9000000004&ymin=342832.1500000004&ymax=342842.42200000025",2019-06-18
"Site of 18A Castle Boulevard, Nottingham",yes,,2019-08-15,,0.01,1,1,DevelopmentDescription: Conversion of B1a offices to C3 residential.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-04-13,,permissioned,,2490,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456823.7070000004&xmax=456833.91000000015&ymin=339332.1420000009&ymax=339346.2139999997",2019-06-18
"21 Clarendon Street, Nottingham NG1 5HR",,31/03/2019,2019-08-15,,0.09,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2017-12-04,,permissioned,full planning permission,2491,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456664.0999999996&xmax=456703.75&ymin=340280.75&ymax=340318.0999999996",2019-06-18
"6 Kilbourn Street, Nottingham, NG3 1BS",,31/03/2019,2019-08-15,,0.05,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2017-06-06,,permissioned,full planning permission,2492,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457155.7999999998&xmax=457185.8839999996&ymin=340860.19999999925&ymax=340896.3990000002",2019-06-18
"25-29 Wheeler Gate, Nottingham, NG1 2NA",yes,,2019-07-15,,0.04,2,2,"DevelopmentDescription: Creation of 2 additional flats within roof space and insertion of roof lights to facilitate conversion. Internal alterations to insert 2 new internal staircases, reconfigure flat 9 (retrospective) and create atrium with glazed roof.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2017-07-21,,permissioned,full planning permission,2493,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457214.0999999996&xmax=457234.58299999963&ymin=339783.3499999996&ymax=339816.69400000013",2019-07-15
"11 Pelham Road, Nottingham, NG5 1AP, 8, NG5 1AP",yes,,2019-08-15,,0.07,2,2,DevelopmentDescription: Two storey and single storey extension to form two additional apartments. Formation of new access ramp.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-04-19,,permissioned,full planning permission,2494,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456769.9299999997&xmax=456802.3420000002&ymin=341827.6579999998&ymax=341866.3540000003",2019-07-15
"Portland Lodge, Nottingham, NG7 4GN",,31/03/2019,2019-07-15,,0.03,5,0,DevelopmentDescription: Change of use of public house to five flats.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-12-30,,permissioned,full planning permission,2495,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456358.41199999955&xmax=456382.8590000002&ymin=340320.7550000008&ymax=340344.38299999945",2019-07-15
"Land South West Of 501-507, The Wells Road, Astley Drive, Nottingham",yes,,2019-07-15,,0.1,1,1,DevelopmentDescription: New dwelling and associated works.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-06-22,,permissioned,full planning permission,2496,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458738.86000000034&xmax=458790.4539999999&ymin=342287.7410000004&ymax=342328.4210000001",2019-07-15
"Springfield House, 180 Hucknall Lane, Hucknall Lane, Nottingham, NG6 8AJ",yes,,2019-08-15,,0.13,6,6,DevelopmentDescription: Erection of six dwellings (amended proposal); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-02-01,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O6Y62ILYKYK00,permissioned,full planning permission,2497,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454423.9500000002&xmax=454456.7410000004&ymin=346300.0999999996&ymax=346371.0999999996",2019-07-15
"59 Thorneywood Rise, Nottingham, NG3 2PE",yes,,2019-08-15,,0.05,3,3,"DevelopmentDescription: Construction of three detached, 4-bedroom houses.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2019-02-19,,permissioned,full planning permission,2498,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=459033.2479999997&xmax=459058.0530000003&ymin=341035.5209999997&ymax=341071.57100000046",2019-07-15
